produto_id,descricao_produto,codigo_produto,classificacao_id,ncm_classificado,cest_classificado,confianca_consolidada,justificativa,tempo_processamento_ms,sistema
16484,ZOLPIDEM 10MG 20CP NOVA QUIMICA,4013331,339,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLPIDEM 10MG 20CP NOVA QUIMICA...,0,unified_sqlite
7470,ZOLPIDEM 10MG 20CP-NEO QUIMICA,000000000004002078,340,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLPIDEM 10MG 20CP-NEO QUIMICA...,2,unified_sqlite
11329,ZOLPIDEM 10MG 10CP-EMS FL,000000000004002079,341,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLPIDEM 10MG 10CP-EMS FL...,2,unified_sqlite
11879,ZOLOFT 100MG C 30 CAPS C1,000000000004009566,342,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLOFT 100MG C 30 CAPS C1...,2,unified_sqlite
6042,ZOLMICOL CRE 20MG/G 30G GEOLAB,000000000004003282,343,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLMICOL CRE 20MG/G 30G GEOLAB...,1,unified_sqlite
11669,ZOLFEST D CPR EFERV 10MG C/20COMP (PBM),000000000004007369,344,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLFEST D CPR EFERV 10MG C/20COMP (PBM)...,1,unified_sqlite
7042,ZMA 120 CAPSULAS BS 0996,000000000006020354,345,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZMA 120 CAPSULAS BS 0996...,2,unified_sqlite
11289,ZITRONEO 600MG PO SUS FRASCO15ML,000000000004001051,346,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZITRONEO 600MG PO SUS FRASCO15ML...,1,unified_sqlite
8587,ZIRVIT MULTI C 30 CP,000000000004012346,347,99999999,,0.5,Classificação automática baseada em análise de texto: ZIRVIT MULTI C 30 CP...,18,unified_sqlite
12072,ZIOR 250MG C 28 COMP,000000000004010821,348,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZIOR 250MG C 28 COMP...,1,unified_sqlite
11608,ZINPASS 20MG COM REV C/ 30,000000000004006712,349,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINPASS 20MG COM REV C/ 30...,2,unified_sqlite
11364,ZINNAT 500MG C/14CP,000000000004002190,350,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINNAT 500MG C/14CP...,1,unified_sqlite
11863,ZINNAT 250MG SUSP 50ML,000000000004009524,351,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINNAT 250MG SUSP 50ML...,1,unified_sqlite
11363,ZINNAT 250MG SUS C/70ML,000000000004002189,352,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINNAT 250MG SUS C/70ML...,1,unified_sqlite
19117,ZINCO QUELATO 25MG COM 60 COMP DIVINA,6016372,353,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINCO QUELATO 25MG COM 60 COMP DIVINA...,1,unified_sqlite
9917,ZINCO QUELATO 25MG COM 60 COMP DIVINA,000000000006016372,354,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINCO QUELATO 25MG COM 60 COMP DIVINA...,2,unified_sqlite
17708,ZINCO PIRITION SH ANTI-CASPA PRONATUS 20,6007280,355,260800,,0.5,Classificação automática baseada em análise de texto: ZINCO PIRITION SH ANTI-CASPA PRONATUS 20...,3,unified_sqlite
11017,ZINCO PIRITION SH ANTI-CASPA PRONATUS 20,000000000006007280,356,260800,,0.5,Classificação automática baseada em análise de texto: ZINCO PIRITION SH ANTI-CASPA PRONATUS 20...,2,unified_sqlite
17781,ZINCO 100 IDR 60CAPS MAXNUTRI,6007860,357,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINCO 100 IDR 60CAPS MAXNUTRI...,2,unified_sqlite
4175,ZINCO 100 IDR 60CAPS MAXNUTRI,000000000006007860,358,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINCO 100 IDR 60CAPS MAXNUTRI...,1,unified_sqlite
15687,ZINA 5MG C/10CP (EUF),4003958,359,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINA 5MG C/10CP (EUF)...,2,unified_sqlite
2676,ZINA 5MG C/10CP (EUF),000000000004003958,360,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZINA 5MG C/10CP (EUF)...,2,unified_sqlite
12071,ZIMIEX 10MG C 30 COMP,000000000004010777,361,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZIMIEX 10MG C 30 COMP...,1,unified_sqlite
6753,ZIKA IGG/IGM,000000000000000003,362,38221200,28.063.00,0.95,Classificação automática baseada em análise de texto: ZIKA IGG/IGM...,6,unified_sqlite
12070,ZIDER 10MG C 60 COMP C1,000000000004010776,363,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZIDER 10MG C 60 COMP C1...,2,unified_sqlite
12069,ZIDER 10MG C 30 COMP C1,000000000004010775,364,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZIDER 10MG C 30 COMP C1...,1,unified_sqlite
12068,ZIDER 10MG C 120 COMP C1,000000000004010774,365,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZIDER 10MG C 120 COMP C1...,1,unified_sqlite
10194,ZEUS EXTREME IRIDIUMLABS 60 CAPS,000000000006019144,366,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZEUS EXTREME IRIDIUMLABS 60 CAPS...,2,unified_sqlite
7503,ZETSIM 10+10MG C/ 28 COMP,000000000004002220,367,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZETSIM 10+10MG C/ 28 COMP...,1,unified_sqlite
11860,ZETSIM 10 40MG COM 30CP,000000000004009516,368,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZETSIM 10 40MG COM 30CP...,0,unified_sqlite
12067,ZETRON XL 300MG C 30 COMP C1,000000000004010772,369,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZETRON XL 300MG C 30 COMP C1...,2,unified_sqlite
2800,ZETRON XL 150MG C 60 COMP C1,000000000004010771,370,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZETRON XL 150MG C 60 COMP C1...,1,unified_sqlite
8395,ZETRON XL 150MG C 30 COMP C1,000000000004010770,371,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZETRON XL 150MG C 30 COMP C1...,1,unified_sqlite
11247,ZENTEL 400MG 1CPR,000000000004000477,372,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZENTEL 400MG 1CPR...,2,unified_sqlite
13857,ZELIX 150MG CX 2CAPS (ARE),000000000004010738,373,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZELIX 150MG CX 2CAPS (ARE)...,1,unified_sqlite
13858,ZELIX 150MG CX 1CAPS (ARE),000000000004010739,374,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZELIX 150MG CX 1CAPS (ARE)...,2,unified_sqlite
8394,ZELIX 150MG C 1 CAP,000000000004010739,375,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZELIX 150MG C 1 CAP...,1,unified_sqlite
8393,ZELIX 150 MG C 2 CAPS,000000000004010738,376,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZELIX 150 MG C 2 CAPS...,1,unified_sqlite
503,ZART 50MG 30CPR,000000000004005449,377,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZART 50MG 30CPR...,1,unified_sqlite
13626,ZARGUS 1MG CX 30CP (ACH),000000000004002737,378,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZARGUS 1MG CX 30CP (ACH)...,1,unified_sqlite
7580,ZARGUS 1MG C/30CP C1,000000000004002737,379,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZARGUS 1MG C/30CP C1...,1,unified_sqlite
12066,ZAP 5MG C 30 COMP C1,000000000004010737,380,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZAP 5MG C 30 COMP C1...,2,unified_sqlite
12065,"ZAP 2,5MG C 30 COMP C1",000000000004010736,381,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZAP 2,5MG C 30 COMP C1...",1,unified_sqlite
3782,ZAP 10MG 30CP C1 MOMENTA,000000000004003950,382,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZAP 10MG 30CP C1 MOMENTA...,2,unified_sqlite
11866,ZANIDIP 10MG C 30 COMP,000000000004009532,383,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZANIDIP 10MG C 30 COMP...,1,unified_sqlite
11849,ZANIDIP 10MG C 20 COMP (NOVO),000000000004009485,384,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZANIDIP 10MG C 20 COMP (NOVO)...,2,unified_sqlite
3438,YOPRO UHT SHAKE MORANGO DANONE 250 ML,000000000006020400,385,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: YOPRO UHT SHAKE MORANGO DANONE 250 ML...,3,unified_sqlite
6433,YOPRO UHT COCO COM BATATA DOCE 250ML,000000000006009284,386,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: YOPRO UHT COCO COM BATATA DOCE 250ML...,1,unified_sqlite
3168,YOPRO UHT CHOCOLATE 250ML,000000000006009283,387,18069000,17.004.00,0.95,Classificação automática baseada em análise de texto: YOPRO UHT CHOCOLATE 250ML...,2,unified_sqlite
5536,YOPRO UHT BANANA 250ML,000000000006009282,388,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: YOPRO UHT BANANA 250ML...,1,unified_sqlite
12064,"YOMAX 5,4MG C 60 COMP",000000000004010734,389,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: YOMAX 5,4MG C 60 COMP...",1,unified_sqlite
7819,"YAZ 3MG+0,02MG C/24CP",000000000004005632,390,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: YAZ 3MG+0,02MG C/24CP...",1,unified_sqlite
8746,YASMIN 3MG 63CP BAYER,000000000004013789,391,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: YASMIN 3MG 63CP BAYER...,2,unified_sqlite
10732,YASMIN 21CPR REV,000000000004000356,392,99999999,,0.5,Classificação automática baseada em análise de texto: YASMIN 21CPR REV...,17,unified_sqlite
11845,YASMIN 21+7 COMP,000000000004009469,393,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: YASMIN 21+7 COMP...,1,unified_sqlite
12063,XYNAZ 25 MG C 30 COMP C1,000000000004010733,394,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XYNAZ 25 MG C 30 COMP C1...,2,unified_sqlite
12062,XYNAZ 100 MG C 30 COMP C1,000000000004010732,395,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XYNAZ 100 MG C 30 COMP C1...,2,unified_sqlite
7158,XYLOCAINA POM 5% 25G,000000000004000343,396,99999999,,0.5,Classificação automática baseada em análise de texto: XYLOCAINA POM 5% 25G...,16,unified_sqlite
13473,XYLOCAINA 50MG POM 25G (ASP),000000000004000343,397,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XYLOCAINA 50MG POM 25G (ASP)...,2,unified_sqlite
16693,XXXXLIQ 250ML BEBE ERVA DOCE REFIL GRANA,6000653,398,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XXXXLIQ 250ML BEBE ERVA DOCE REFIL GRANA...,0,unified_sqlite
11884,"XULTOPHY 3,6 MG ML C 1 SIST APL",000000000004009572,399,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: XULTOPHY 3,6 MG ML C 1 SIST APL...",2,unified_sqlite
3265,XO FEBRE COMPRESSAS 4UN REF LIKLUC,000000000006015453,400,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XO FEBRE COMPRESSAS 4UN REF LIKLUC...,2,unified_sqlite
18999,XO FEBRE COMPRESSAS 4UN REF LIKLUC,6015453,401,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XO FEBRE COMPRESSAS 4UN REF LIKLUC...,1,unified_sqlite
15986,XIGDUO XR 5MG/1000MG C/60CP (AST),4006071,402,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XIGDUO XR 5MG/1000MG C/60CP (AST)...,2,unified_sqlite
7883,XIGDUO XR 5MG/1000MG C/60CP (AST),000000000004006071,403,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XIGDUO XR 5MG/1000MG C/60CP (AST)...,1,unified_sqlite
538,XIGDUO XR 5+1000MG CX 60CP (ATZ),000000000004006071,404,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XIGDUO XR 5+1000MG CX 60CP (ATZ)...,1,unified_sqlite
13729,XIGDUO XR 5-1000MG CX 60CP (ATZ),000000000004006071,405,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XIGDUO XR 5-1000MG CX 60CP (ATZ)...,0,unified_sqlite
15535,XIGDUO XR 10MG/1000MG C/30CP (AST),4002563,406,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XIGDUO XR 10MG/1000MG C/30CP (AST)...,2,unified_sqlite
6812,XIGDUO XR 10MG/1000MG C/30CP (AST),000000000004002563,407,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XIGDUO XR 10MG/1000MG C/30CP (AST)...,2,unified_sqlite
2633,XIGDUO XR 10+1000MG CX 30CP (ATZ),000000000004002563,408,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XIGDUO XR 10+1000MG CX 30CP (ATZ)...,1,unified_sqlite
13616,XIGDUO XR 10-1000MG CX 30CP (ATZ),000000000004002563,409,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XIGDUO XR 10-1000MG CX 30CP (ATZ)...,1,unified_sqlite
7828,XEFO 8MG C/30CP (BLB),000000000004005687,410,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XEFO 8MG C/30CP (BLB)...,1,unified_sqlite
879,XAROPE VICK 16MG ML 100 ML,000000000004022617,411,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XAROPE VICK 16MG ML 100 ML...,1,unified_sqlite
5214,XAROPE GUACO S/ACUCAR FRASCO 150ML,000000000004001174,412,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XAROPE GUACO S/ACUCAR FRASCO 150ML...,1,unified_sqlite
15215,XAROPE GUACO S/ACUCAR FRASCO 150ML,4001174,413,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XAROPE GUACO S/ACUCAR FRASCO 150ML...,1,unified_sqlite
623,XAROPE DE GUACO S/ACUCAR 100ML (NTL),000000000004009606,414,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XAROPE DE GUACO S/ACUCAR 100ML (NTL)...,1,unified_sqlite
13657,XARELTO 20MG CX 28CP (PBM) (BAY),000000000004003695,415,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: XARELTO 20MG CX 28CP (PBM) (BAY)...,1,unified_sqlite
